Comment,Designator,Footprint,LCSC
"100n","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77082"
"1n","C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C46653"
"LED_Pad","D1,D2,D3,D4","custom_footprints:LED_3x3_DIRECT_CU","C2899049"
"Conn_01x01","J1,J2,J3,J4","Connector_TE-Connectivity:TE_2834006-1_1x01_P4.0mm_Horizontal","C306142"
"Q_NPN_BCEC","Q1","Package_TO_SOT_SMD:SOT-223","C24098"
"1R","R1","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","C2941595"
"2K2","R2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C3008897"
"0R","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C844192"
"0R","R5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C844862"
"LM7321MA	","U1","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm"," C81665"